"Table with row headers in columns A and B, column headers in rows 4 and 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table HIC-4_ACS. Health Insurance Coverage Status and Type of Coverage by State All People: 2008 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Numbers in thousands. Civilian noninstitutionalized population. Margins of error calculated using replicate weights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nation/State,Coverage,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,,2009,,,,2008,,,
,..Medicaid,"2,226",27,22.5,0.3,"2,213",27,22.5,0.3,"2,240",28,22.8,0.3,"2,209",27,22.5,0.3,"2,016",27,20.6,0.3,"1,922",28,19.6,0.3,"1,918",26,19.6,0.3,"1,950",25,20.0,0.3,"1,895",27,19.4,0.3,"1,812",27,18.4,0.3,"1,682",23,17.0,0.2
,..Medicare,"1,939",10,19.6,0.1,"1,874",10,19.0,0.1,"1,848",10,18.8,0.1,"1,820",9,18.6,0.1,"1,785",9,18.2,0.1,"1,717",8,17.6,0.1,"1,683",8,17.2,0.1,"1,617",9,16.6,0.1,"1,577",9,16.2,0.1,"1,533",9,15.6,0.1,"1,476",8,15.0,0.1
,..VA Care,209,6,2.1,0.1,200,6,2.0,0.1,202,6,2.1,0.1,194,5,2.0,0.1,188,6,1.9,0.1,188,6,1.9,0.1,187,5,1.9,0.1,175,6,1.8,0.1,170,7,1.7,0.1,167,5,1.7,0.1,160,6,1.6,0.1
MINNESOTA,Total,"5,554",1,100.0,Z,"5,519",1,100.0,Z,"5,462",1,100.0,Z,"5,432",1,100.0,Z,"5,398",1,100.0,Z,"5,363",Z,100.0,Z,"5,320",1,100.0,Z,"5,287",1,100.0,Z,"5,252",1,100.0,Z,"5,197",1,100.0,Z,"5,151",1,100.0,Z
,Any coverage,"5,309",9,95.6,0.2,"5,277",11,95.6,0.2,"5,237",10,95.9,0.2,"5,187",11,95.5,0.2,"5,081",12,94.1,0.2,"4,923",14,91.8,0.3,"4,895",11,92.0,0.2,"4,819",12,91.2,0.2,"4,776",13,90.9,0.3,"4,724",13,90.9,0.3,"4,717",13,91.6,0.3
,Uninsured,244,10,4.4,0.2,243,11,4.4,0.2,225,10,4.1,0.2,245,11,4.5,0.2,317,12,5.9,0.2,440,14,8.2,0.3,425,11,8.0,0.2,467,12,8.8,0.2,476,13,9.1,0.3,473,13,9.1,0.3,433,13,8.4,0.3
,Private,"4,227",22,76.1,0.4,"4,193",19,76.0,0.3,"4,196",20,76.8,0.4,"4,149",22,76.4,0.4,"4,133",22,76.6,0.4,"4,081",22,76.1,0.4,"4,063",20,76.4,0.4,"3,989",18,75.5,0.4,"4,022",22,76.6,0.4,"4,029",20,77.5,0.4,"4,113",19,79.8,0.4
,..Employer-based,"3,460",21,62.3,0.4,"3,455",19,62.6,0.3,"3,377",25,61.8,0.5,"3,319",26,61.1,0.5,"3,339",23,61.9,0.4,"3,339",25,62.3,0.5,"3,371",24,63.4,0.4,"3,306",21,62.5,0.4,"3,316",25,63.1,0.5,"3,345",21,64.4,0.4,"3,447",20,66.9,0.4
,..Direct-purchase,876,14,15.8,0.2,847,13,15.3,0.2,929,15,17.0,0.3,928,15,17.1,0.3,894,14,16.6,0.3,840,15,15.7,0.3,838,14,15.8,0.3,829,15,15.7,0.3,851,14,16.2,0.3,858,15,16.5,0.3,874,16,17.0,0.3
,..TRICARE,78,6,1.4,0.1,77,5,1.4,0.1,80,5,1.5,0.1,75,5,1.4,0.1,71,4,1.3,0.1,75,5,1.4,0.1,77,4,1.5,0.1,69,5,1.3,0.1,70,4,1.3,0.1,59,4,1.1,0.1,62,4,1.2,0.1
,Public,"1,843",19,33.2,0.4,"1,820",17,33.0,0.3,"1,791",15,32.8,0.3,"1,764",16,32.5,0.3,"1,651",19,30.6,0.4,"1,506",19,28.1,0.4,"1,484",16,27.9,0.3,"1,454",17,27.5,0.3,"1,412",18,26.9,0.3,"1,328",14,25.6,0.3,"1,231",15,23.9,0.3
,..Medicaid,999,20,18.0,0.4,986,16,17.9,0.3,990,16,18.1,0.3,988,16,18.2,0.3,895,20,16.6,0.4,779,20,14.5,0.4,773,17,14.5,0.3,773,16,14.6,0.3,745,17,14.2,0.3,697,16,13.4,0.3,628,14,12.2,0.3
,..Medicare,929,5,16.7,0.1,912,5,16.5,0.1,882,5,16.2,0.1,860,6,15.8,0.1,828,5,15.3,0.1,801,5,14.9,0.1,788,5,14.8,0.1,753,6,14.2,0.1,741,6,14.1,0.1,710,5,13.7,0.1,685,5,13.3,0.1
,..VA Care,136,5,2.5,0.1,142,4,2.6,0.1,135,5,2.5,0.1,133,4,2.5,0.1,136,4,2.5,0.1,132,5,2.5,0.1,127,4,2.4,0.1,120,4,2.3,0.1,121,4,2.3,0.1,113,4,2.2,0.1,110,4,2.1,0.1
MISSISSIPPI,Total,"2,920",1,100.0,Z,"2,921",1,100.0,Z,"2,924",1,100.0,Z,"2,928",1,100.0,Z,"2,927",1,100.0,Z,"2,925",1,100.0,Z,"2,918",1,100.0,Z,"2,912",2,100.0,Z,"2,903",1,100.0,Z,"2,880",3,100.0,Z,"2,867",3,100.0,Z
,Any coverage,"2,566",12,87.9,0.4,"2,569",15,88.0,0.5,"2,578",13,88.2,0.4,"2,556",12,87.3,0.4,"2,503",13,85.5,0.5,"2,425",16,82.9,0.5,"2,421",11,83.0,0.4,"2,395",15,82.3,0.5,"2,375",15,81.8,0.5,"2,366",17,82.1,0.6,"2,381",16,83.0,0.6
,Uninsured,354,12,12.1,0.4,352,15,12.0,0.5,346,12,11.8,0.4,372,12,12.7,0.4,424,14,14.5,0.5,500,16,17.1,0.5,498,11,17.0,0.4,516,15,17.7,0.5,528,15,18.2,0.5,514,17,17.9,0.6,486,16,17.0,0.6
,Private,"1,766",21,60.5,0.7,"1,763",25,60.3,0.8,"1,759",18,60.2,0.6,"1,718",19,58.7,0.7,"1,710",20,58.4,0.7,"1,637",21,56.0,0.7,"1,639",15,56.2,0.5,"1,640",20,56.3,0.7,"1,640",24,56.5,0.8,"1,662",20,57.7,0.7,"1,739",22,60.6,0.8
,..Employer-based,"1,398",21,47.9,0.7,"1,363",23,46.7,0.8,"1,368",17,46.8,0.6,"1,326",20,45.3,0.7,"1,331",20,45.5,0.7,"1,317",19,45.0,0.6,"1,322",17,45.3,0.6,"1,317",20,45.2,0.7,"1,316",22,45.3,0.8,"1,339",21,46.5,0.7,"1,408",23,49.1,0.8
,..Direct-purchase,370,12,12.7,0.4,387,11,13.3,0.4,380,13,13.0,0.4,382,11,13.1,0.4,369,13,12.6,0.5,323,12,11.0,0.4,356,12,12.2,0.4,340,13,11.7,0.4,350,12,12.1,0.4,366,13,12.7,0.4,412,13,14.4,0.4
,..TRICARE,109,8,3.7,0.3,127,9,4.3,0.3,114,8,3.9,0.3,109,7,3.7,0.3,98,8,3.4,0.3,112,8,3.8,0.3,100,6,3.4,0.2,102,6,3.5,0.2,104,7,3.6,0.3,109,8,3.8,0.3,98,7,3.4,0.2
,Public,"1,134",16,38.9,0.6,"1,147",17,39.3,0.6,"1,153",14,39.4,0.5,"1,167",14,39.9,0.5,"1,113",14,38.0,0.5,"1,102",16,37.7,0.6,"1,098",14,37.6,0.5,"1,053",15,36.2,0.5,"1,047",17,36.1,0.6,"1,006",16,34.9,0.6,962,18,33.5,0.6
,..Medicaid,685,16,23.4,0.5,714,17,24.4,0.6,718,16,24.6,0.5,751,13,25.6,0.5,709,14,24.2,0.5,701,16,24.0,0.5,708,14,24.3,0.5,679,16,23.3,0.5,674,16,23.2,0.6,648,16,22.5,0.5,617,19,21.5,0.7
,..Medicare,569,7,19.5,0.2,561,7,19.2,0.3,544,5,18.6,0.2,543,6,18.5,0.2,530,6,18.1,0.2,511,7,17.5,0.2,506,5,17.3,0.2,486,6,16.7,0.2,478,6,16.5,0.2,461,6,16.0,0.2,450,7,15.7,0.2
,..VA Care,71,5,2.4,0.2,81,5,2.8,0.2,81,5,2.8,0.2,73,5,2.5,0.2,74,4,2.5,0.1,77,4,2.6,0.1,74,4,2.5,0.1,76,4,2.6,0.1,72,4,2.5,0.2,77,5,2.7,0.2,77,4,2.7,0.1
MISSOURI,Total,"6,015",1,100.0,Z,"6,000",2,100.0,Z,"5,977",2,100.0,Z,"5,969",2,100.0,Z,"5,951",2,100.0,Z,"5,931",2,100.0,Z,"5,909",1,100.0,Z,"5,899",2,100.0,Z,"5,880",2,100.0,Z,"5,871",2,100.0,Z,"5,795",2,100.0,Z
,Any coverage,"5,448",17,90.6,0.3,"5,452",17,90.9,0.3,"5,445",15,91.1,0.2,"5,386",15,90.2,0.3,"5,257",19,88.3,0.3,"5,158",18,87.0,0.3,"5,107",19,86.4,0.3,"5,092",19,86.3,0.3,"5,106",17,86.8,0.3,"5,098",16,86.8,0.3,"5,075",19,87.6,0.3
,Uninsured,566,18,9.4,0.3,548,17,9.1,0.3,532,14,8.9,0.2,583,15,9.8,0.3,694,19,11.7,0.3,773,18,13.0,0.3,801,19,13.6,0.3,807,19,13.7,0.3,774,16,13.2,0.3,774,16,13.2,0.3,720,18,12.4,0.3
,Private,"4,228",26,70.3,0.4,"4,236",30,70.6,0.5,"4,264",26,71.3,0.4,"4,241",28,71.0,0.5,"4,117",29,69.2,0.5,"4,056",27,68.4,0.4,"3,991",26,67.5,0.4,"4,033",25,68.4,0.4,"4,066",27,69.1,0.5,"4,129",23,70.3,0.4,"4,165",26,71.9,0.4
,..Employer-based,"3,452",30,57.4,0.5,"3,416",31,56.9,0.5,"3,416",27,57.2,0.5,"3,389",30,56.8,0.5,"3,318",30,55.8,0.5,"3,327",26,56.1,0.4,"3,303",28,55.9,0.5,"3,342",26,56.7,0.4,"3,335",29,56.7,0.5,"3,443",24,58.6,0.4,"3,497",26,60.3,0.4
,..Direct-purchase,825,16,13.7,0.3,866,17,14.4,0.3,907,19,15.2,0.3,900,18,15.1,0.3,848,16,14.3,0.3,789,17,13.3,0.3,792,16,13.4,0.3,791,15,13.4,0.2,835,19,14.2,0.3,817,15,13.9,0.3,841,17,14.5,0.3
,..TRICARE,159,9,2.6,0.1,159,9,2.6,0.2,148,8,2.5,0.1,154,8,2.6,0.1,154,8,2.6,0.1,154,9,2.6,0.2,159,8,2.7,0.1,153,8,2.6,0.1,152,7,2.6,0.1,139,8,2.4,0.1,139,6,2.4,0.1
,Public,"1,964",24,32.7,0.4,"1,944",20,32.4,0.3,"1,885",18,31.5,0.3,"1,855",20,31.1,0.3,"1,821",24,30.6,0.4,"1,813",20,30.6,0.3,"1,817",19,30.8,0.3,"1,739",19,29.5,0.3,"1,735",20,29.5,0.3,"1,681",20,28.6,0.3,"1,623",18,28.0,0.3
,..Medicaid,912,23,15.2,0.4,903,19,15.0,0.3,882,19,14.7,0.3,887,17,14.9,0.3,851,20,14.3,0.3,879,20,14.8,0.3,914,18,15.5,0.3,867,18,14.7,0.3,881,20,15.0,0.3,868,19,14.8,0.3,837,18,14.4,0.3
,..Medicare,"1,167",8,19.4,0.1,"1,144",9,19.1,0.1,"1,115",9,18.7,0.1,"1,080",9,18.1,0.1,"1,075",8,18.1,0.1,"1,032",9,17.4,0.1,"1,013",7,17.1,0.1,982,8,16.6,0.1,958,7,16.3,0.1,937,9,16.0,0.2,903,7,15.6,0.1
,..VA Care,166,6,2.8,0.1,167,7,2.8,0.1,165,5,2.8,0.1,163,6,2.7,0.1,165,6,2.8,0.1,167,6,2.8,0.1,163,5,2.8,0.1,154,5,2.6,0.1,158,5,2.7,0.1,141,5,2.4,0.1,145,5,2.5,0.1
MONTANA,Total,"1,047",1,100.0,Z,"1,036",1,100.0,Z,"1,028",1,100.0,Z,"1,017",1,100.0,Z,"1,008",1,100.0,Z,999,1,100.0,Z,990,1,100.0,Z,983,1,100.0,Z,976,1,100.0,Z,958,1,100.0,Z,950,2,100.0,Z
,Any coverage,961,5,91.8,0.5,949,6,91.5,0.5,944,6,91.9,0.5,899,7,88.4,0.7,865,6,85.8,0.6,835,8,83.5,0.8,811,6,82.0,0.6,804,7,81.7,0.7,807,8,82.7,0.7,783,8,81.8,0.8,784,8,82.5,0.8
,Uninsured,86,5,8.2,0.5,88,6,8.5,0.5,83,6,8.1,0.5,119,7,11.6,0.7,143,6,14.2,0.6,165,8,16.5,0.8,178,6,18.0,0.6,180,7,18.3,0.7,169,7,17.3,0.7,174,8,18.2,0.8,166,8,17.5,0.8
,Private,697,11,66.6,1.1,697,13,67.2,1.2,702,9,68.4,0.9,709,11,69.7,1.1,674,10,66.9,1.0,650,10,65.1,1.0,628,9,63.5,0.9,643,10,65.4,1.0,660,10,67.6,1.0,642,11,67.0,1.1,654,11,68.8,1.1
,..Employer-based,510,12,48.7,1.2,503,13,48.5,1.2,507,9,49.4,0.9,510,12,50.1,1.1,494,10,49.0,1.0,492,10,49.2,1.0,478,9,48.3,0.9,487,11,49.6,1.1,496,12,50.8,1.2,493,12,51.4,1.3,505,11,53.2,1.2
,..Direct-purchase,186,8,17.8,0.7,194,8,18.7,0.8,195,7,19.0,0.7,200,8,19.7,0.7,187,7,18.6,0.7,167,7,16.7,0.7,169,7,17.0,0.7,177,6,18.0,0.6,179,7,18.4,0.7,171,6,17.9,0.6,177,7,18.6,0.8
,..TRICARE,42,5,4.0,0.4,35,5,3.4,0.4,40,4,3.9,0.4,36,4,3.5,0.4,32,3,3.1,0.3,32,4,3.2,0.4,33,3,3.4,0.3,34,3,3.5,0.3,37,5,3.8,0.5,34,4,3.5,0.4,36,3,3.8,0.3
,Public,421,10,40.2,1.0,400,11,38.6,1.1,388,8,37.8,0.8,335,6,33.0,0.6,323,7,32.1,0.7,318,7,31.9,0.7,311,7,31.5,0.7,290,8,29.5,0.8,277,8,28.4,0.8,263,8,27.5,0.8,253,7,26.6,0.7
,..Medicaid,223,11,21.3,1.0,212,11,20.4,1.1,203,7,19.8,0.7,152,6,14.9,0.6,150,7,14.9,0.6,148,6,14.8,0.6,147,7,14.9,0.8,130,7,13.2,0.7,124,8,12.7,0.8,116,7,12.1,0.8,111,7,11.7,0.7
,..Medicare,217,3,20.7,0.3,203,3,19.6,0.3,206,3,20.0,0.3,196,3,19.2,0.3,189,3,18.8,0.3,181,2,18.1,0.2,176,2,17.8,0.2,168,3,17.1,0.3,161,3,16.5,0.3,154,3,16.1,0.3,150,3,15.8,0.3
,..VA Care,41,3,3.9,0.3,43,3,4.2,0.3,44,3,4.2,0.3,38,2,3.8,0.2,37,3,3.6,0.3,38,3,3.8,0.3,41,3,4.1,0.3,39,3,4.0,0.3,35,2,3.6,0.3,35,3,3.7,0.3,36,2,3.8,0.2
NEBRASKA,Total,"1,900",1,100.0,Z,"1,891",1,100.0,Z,"1,878",1,100.0,Z,"1,866",1,100.0,Z,"1,854",1,100.0,Z,"1,841",1,100.0,Z,"1,827",1,100.0,Z,"1,814",1,100.0,Z,"1,802",1,100.0,Z,"1,763",1,100.0,Z,"1,750",1,100.0,Z
,Any coverage,"1,743",8,91.7,0.4,"1,735",7,91.7,0.4,"1,717",9,91.4,0.5,"1,713",9,91.8,0.5,"1,674",7,90.3,0.4,"1,632",9,88.7,0.5,"1,621",8,88.7,0.5,"1,607",8,88.6,0.4,"1,594",7,88.5,0.4,"1,553",9,88.1,0.5,"1,561",9,89.2,0.5
,Uninsured,158,8,8.3,0.4,157,7,8.3,0.4,161,9,8.6,0.5,154,9,8.2,0.5,179,7,9.7,0.4,209,9,11.3,0.5,206,8,11.3,0.5,207,8,11.4,0.4,208,7,11.5,0.4,210,9,11.9,0.5,189,9,10.8,0.5
,Private,"1,427",13,75.1,0.7,"1,435",14,75.9,0.8,"1,427",15,76.0,0.8,"1,426",11,76.4,0.6,"1,391",10,75.0,0.5,"1,356",13,73.7,0.7,"1,347",13,73.8,0.7,"1,339",13,73.8,0.7,"1,339",12,74.3,0.7,"1,323",12,75.1,0.7,"1,360",11,77.7,0.6
,..Employer-based,"1,129",14,59.4,0.7,"1,129",14,59.7,0.7,"1,106",16,58.9,0.8,"1,100",11,58.9,0.6,"1,077",12,58.1,0.6,"1,066",14,57.9,0.7,"1,068",13,58.5,0.7,"1,051",15,57.9,0.8,"1,045",13,58.0,0.7,"1,053",13,59.7,0.7,"1,092",13,62.4,0.7
,..Direct-purchase,314,9,16.5,0.4,321,9,17.0,0.5,339,9,18.1,0.5,342,8,18.3,0.4,330,10,17.8,0.5,311,8,16.9,0.5,300,7,16.4,0.4,312,9,17.2,0.5,319,8,17.7,0.5,308,8,17.5,0.5,325,9,18.5,0.5
,..TRICARE,69,5,3.6,0.3,62,5,3.3,0.3,59,5,3.1,0.2,58,4,3.1,0.2,61,5,3.3,0.3,60,5,3.2,0.3,61,5,3.4,0.3,61,6,3.4,0.3,55,4,3.0,0.2,53,5,3.0,0.3,55,5,3.1,0.3
,Public,548,9,28.8,0.5,525,11,27.8,0.6,513,9,27.3,0.5,509,7,27.3,0.4,506,8,27.3,0.4,492,8,26.8,0.4,489,9,26.7,0.5,483,10,26.6,0.5,477,10,26.5,0.5,446,10,25.3,0.6,420,8,24.0,0.5
,..Medicaid,257,9,13.5,0.5,246,11,13.0,0.6,243,9,13.0,0.5,238,7,12.8,0.4,243,7,13.1,0.4,240,9,13.0,0.5,239,9,13.1,0.5,239,9,13.2,0.5,239,10,13.3,0.5,216,9,12.2,0.5,191,8,10.9,0.5
,..Medicare,319,3,16.8,0.2,308,3,16.3,0.2,299,3,15.9,0.2,296,3,15.9,0.2,288,3,15.5,0.2,279,3,15.2,0.2,275,3,15.1,0.2,270,3,14.9,0.2,261,3,14.5,0.2,252,4,14.3,0.2,250,3,14.3,0.2
,..VA Care,56,3,2.9,0.1,52,3,2.7,0.2,54,2,2.9,0.1,52,3,2.8,0.2,53,2,2.9,0.1,51,3,2.8,0.2,51,3,2.8,0.1,52,3,2.9,0.2,49,3,2.7,0.1,52,3,3.0,0.2,49,3,2.8,0.2
NEVADA,Total,"2,999",2,100.0,Z,"2,962",1,100.0,Z,"2,906",1,100.0,Z,"2,856",1,100.0,Z,"2,806",1,100.0,Z,"2,757",1,100.0,Z,"2,724",2,100.0,Z,"2,687",2,100.0,Z,"2,669",2,100.0,Z,"2,610",2,100.0,Z,"2,568",2,100.0,Z
,Any coverage,"2,662",13,88.8,0.4,"2,630",13,88.8,0.4,"2,575",13,88.6,0.5,"2,505",12,87.7,0.4,"2,379",15,84.8,0.5,"2,187",17,79.3,0.6,"2,121",17,77.8,0.6,"2,098",20,78.1,0.8,"2,065",16,77.4,0.6,"2,038",18,78.1,0.7,"2,036",19,79.3,0.7
,Uninsured,336,13,11.2,0.4,333,13,11.2,0.4,330,13,11.4,0.5,351,12,12.3,0.4,427,15,15.2,0.5,570,17,20.7,0.6,603,17,22.2,0.6,589,20,21.9,0.8,604,16,22.6,0.6,572,18,21.9,0.7,532,18,20.7,0.7
,Private,"1,947",22,64.9,0.7,"1,921",19,64.9,0.7,"1,881",22,64.7,0.8,"1,843",19,64.5,0.7,"1,803",21,64.3,0.8,"1,717",23,62.3,0.8,"1,674",19,61.5,0.7,"1,699",23,63.2,0.9,"1,695",19,63.5,0.7,"1,725",22,66.1,0.9,"1,762",20,68.6,0.8
,..Employer-based,"1,604",22,53.5,0.7,"1,598",22,53.9,0.7,"1,529",22,52.6,0.8,"1,505",20,52.7,0.7,"1,510",23,53.8,0.8,"1,471",24,53.4,0.9,"1,414",18,51.9,0.7,"1,459",25,54.3,0.9,"1,440",19,53.9,0.7,"1,481",22,56.7,0.8,"1,541",20,60.0,0.8
,..Direct-purchase,339,11,11.3,0.4,324,11,10.9,0.4,346,14,11.9,0.5,327,11,11.4,0.4,295,11,10.5,0.4,250,10,9.1,0.3,290,10,10.7,0.4,263,15,9.8,0.6,309,13,11.6,0.5,336,16,12.9,0.6,344,15,13.4,0.6
,..TRICARE,106,7,3.5,0.2,99,7,3.3,0.2,108,7,3.7,0.2,102,7,3.6,0.2,98,7,3.5,0.2,95,6,3.5,0.2,92,6,3.4,0.2,98,9,3.7,0.3,95,7,3.6,0.3,85,7,3.3,0.3,89,6,3.5,0.2
,Public,"1,045",16,34.9,0.5,"1,012",19,34.2,0.6,"1,004",20,34.5,0.7,956,17,33.5,0.6,860,17,30.7,0.6,727,16,26.4,0.6,706,15,25.9,0.5,662,17,24.6,0.6,625,13,23.4,0.5,560,13,21.5,0.5,528,13,20.6,0.5
,..Medicaid,577,17,19.2,0.6,559,18,18.9,0.6,569,19,19.6,0.6,533,16,18.6,0.5,461,17,16.4,0.6,351,16,12.7,0.6,342,13,12.5,0.5,317,16,11.8,0.6,294,12,11.0,0.5,251,13,9.6,0.5,232,13,9.0,0.5
,..Medicare,514,5,17.1,0.2,495,6,16.7,0.2,476,5,16.4,0.2,464,8,16.3,0.3,437,5,15.6,0.2,412,5,14.9,0.2,389,5,14.3,0.2,373,6,13.9,0.2,359,5,13.4,0.2,331,5,12.7,0.2,324,5,12.6,0.2
,..VA Care,101,5,3.4,0.2,86,5,2.9,0.2,94,4,3.3,0.1,88,4,3.1,0.1,85,5,3.0,0.2,83,5,3.0,0.2,82,4,3.0,0.2,77,5,2.8,0.2,71,4,2.6,0.2,68,4,2.6,0.2,68,4,2.6,0.2
NEW HAMPSHIRE,Total,"1,340",1,100.0,Z,"1,325",1,100.0,Z,"1,316",1,100.0,Z,"1,314",1,100.0,Z,"1,312",Z,100.0,Z,"1,309",Z,100.0,Z,"1,306",1,100.0,Z,"1,304",Z,100.0,Z,"1,303",Z,100.0,Z,"1,309",Z,100.0,Z,"1,299",1,100.0,Z
,Any coverage,"1,263",5,94.3,0.4,"1,248",5,94.2,0.4,"1,239",6,94.1,0.4,"1,231",6,93.7,0.4,"1,191",7,90.8,0.5,"1,168",7,89.3,0.5,"1,167",8,89.4,0.6,"1,167",6,89.5,0.5,"1,158",9,88.9,0.7,"1,175",8,89.8,0.6,"1,163",8,89.5,0.6
,Uninsured,77,5,5.7,0.4,77,5,5.8,0.4,78,6,5.9,0.4,83,6,6.3,0.4,120,7,9.2,0.5,140,7,10.7,0.5,139,8,10.6,0.6,137,6,10.5,0.5,145,9,11.1,0.7,134,8,10.2,0.6,136,8,10.5,0.6
,Private,"1,015",11,75.8,0.8,"1,016",11,76.7,0.8,"1,008",12,76.5,0.9,"1,017",9,77.4,0.7,999,9,76.2,0.7,979,10,74.8,0.8,983,13,75.3,1.0,989,10,75.9,0.8,994,12,76.3,0.9,"1,018",10,77.8,0.8,"1,024",10,78.8,0.8
,..Employer-based,852,12,63.6,0.9,845,11,63.8,0.8,843,13,64.0,1.0,853,10,64.9,0.8,842,10,64.2,0.8,841,10,64.3,0.8,854,13,65.4,1.0,864,12,66.3,0.9,859,12,65.9,0.9,890,12,68.0,1.0,897,12,69.1,0.9
,..Direct-purchase,180,7,13.4,0.5,190,8,14.4,0.6,181,8,13.7,0.6,183,8,13.9,0.6,169,7,12.9,0.5,150,7,11.5,0.5,152,7,11.7,0.5,144,7,11.0,0.5,160,6,12.3,0.5,157,6,12.0,0.5,169,8,13.0,0.6
,..TRICARE,33,4,2.5,0.3,29,4,2.2,0.3,32,4,2.4,0.3,32,4,2.4,0.3,31,4,2.4,0.3,30,4,2.3,0.3,32,4,2.4,0.3,33,4,2.5,0.3,28,3,2.1,0.3,28,4,2.2,0.3,29,4,2.2,0.3
,Public,432,10,32.3,0.7,421,9,31.8,0.7,412,9,31.3,0.7,391,8,29.8,0.6,358,8,27.3,0.6,354,9,27.0,0.7,346,9,26.5,0.7,329,7,25.3,0.6,322,8,24.7,0.6,316,8,24.2,0.6,292,8,22.4,0.6
,..Medicaid,186,10,13.9,0.7,182,9,13.8,0.7,181,8,13.8,0.6,168,8,12.8,0.6,144,7,11.0,0.6,148,8,11.3,0.6,152,9,11.6,0.7,146,7,11.2,0.5,138,8,10.6,0.6,144,8,11.0,0.6,129,7,9.9,0.5
,..Medicare,265,3,19.8,0.3,254,4,19.2,0.3,249,4,18.9,0.3,239,3,18.2,0.3,228,3,17.4,0.3,222,4,17.0,0.3,213,4,16.3,0.3,207,3,15.9,0.3,200,3,15.3,0.2,195,3,14.9,0.2,183,3,14.1,0.3
,..VA Care,37,3,2.7,0.2,33,3,2.5,0.2,39,3,3.0,0.2,34,3,2.6,0.2,33,2,2.5,0.2,32,2,2.4,0.2,30,2,2.3,0.2,31,2,2.4,0.2,31,2,2.4,0.2,30,3,2.3,0.2,29,3,2.2,0.2
NEW JERSEY,Total,"8,804",2,100.0,Z,"8,902",2,100.0,Z,"8,838",1,100.0,Z,"8,850",1,100.0,Z,"8,831",1,100.0,Z,"8,792",1,100.0,Z,"8,757",1,100.0,Z,"8,713",1,100.0,Z,"8,694",1,100.0,Z,"8,583",2,100.0,Z,"8,557",2,100.0,Z
,Any coverage,"8,149",21,92.6,0.2,"8,214",18,92.3,0.2,"8,133",19,92.0,0.2,"8,079",22,91.3,0.2,"7,866",19,89.1,0.2,"7,631",21,86.8,0.2,"7,644",27,87.3,0.3,"7,574",23,86.9,0.3,"7,542",20,86.8,0.2,"7,499",19,87.4,0.2,"7,532",24,88.0,0.3
,Uninsured,655,21,7.4,0.2,688,17,7.7,0.2,705,19,8.0,0.2,771,22,8.7,0.2,965,19,10.9,0.2,"1,160",22,13.2,0.2,"1,113",27,12.7,0.3,"1,139",23,13.1,0.3,"1,151",20,13.2,0.2,"1,084",19,12.6,0.2,"1,025",24,12.0,0.3
,Private,"6,410",31,72.8,0.3,"6,413",30,72.0,0.3,"6,388",32,72.3,0.4,"6,307",30,71.3,0.3,"6,258",30,70.9,0.3,"6,156",30,70.0,0.3,"6,200",32,70.8,0.4,"6,187",29,71.0,0.3,"6,248",32,71.9,0.4,"6,320",33,73.6,0.4,"6,460",34,75.5,0.4
,..Employer-based,"5,522",33,62.7,0.4,"5,523",31,62.0,0.4,"5,483",34,62.0,0.4,"5,450",34,61.6,0.4,"5,476",31,62.0,0.4,"5,434",29,61.8,0.3,"5,500",34,62.8,0.4,"5,509",33,63.2,0.4,"5,542",32,63.7,0.4,"5,593",28,65.2,0.3,"5,791",38,67.7,0.4
,..Direct-purchase,"1,076",19,12.2,0.2,"1,063",22,11.9,0.3,"1,093",18,12.4,0.2,"1,014",19,11.5,0.2,940,18,10.6,0.2,901,19,10.2,0.2,984,19,11.2,0.2,965,19,11.1,0.2,"1,013",17,11.6,0.2,"1,034",21,12.0,0.2,"1,084",23,12.7,0.3
,..TRICARE,89,7,1.0,0.1,88,7,1.0,0.1,86,6,1.0,0.1,81,6,0.9,0.1,78,5,0.9,0.1,84,6,1.0,0.1,88,6,1.0,0.1,80,6,0.9,0.1,75,5,0.9,0.1,81,7,0.9,0.1,83,6,1.0,0.1
,Public,"2,750",29,31.2,0.3,"2,793",26,31.4,0.3,"2,747",26,31.1,0.3,"2,738",25,30.9,0.3,"2,537",24,28.7,0.3,"2,389",23,27.2,0.3,"2,359",23,26.9,0.3,"2,273",22,26.1,0.3,"2,220",23,25.5,0.3,"2,096",23,24.4,0.3,"2,016",26,23.6,0.3
,..Medicaid,"1,477",30,16.8,0.3,"1,530",26,17.2,0.3,"1,516",25,17.2,0.3,"1,540",25,17.4,0.3,"1,359",24,15.4,0.3,"1,238",23,14.1,0.3,"1,240",24,14.2,0.3,"1,199",22,13.8,0.3,"1,146",24,13.2,0.3,"1,059",23,12.3,0.3,990,27,11.6,0.3
