"","X1","X1_6","X1_5","X1_4","X1_3","X1_2","X1_1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"4165",4165,4165,4165,4165,4165,4165,4165,"280131","Midwest Surgical Hospital Llc","7915 Farnam Drive","Omaha","NE",68114,"Douglas","(402) 399-1900","Acute Care Hospitals","Physician",FALSE,TRUE,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",5,"Not Available",16,"Not Available",5,-96.036891,41.258155,"medicare","N"
"4166",4166,4166,4166,4166,4166,4166,4166,"330055","New York-Presbyterian/Queens","56-45 Main Street","Flushing","NY",11355,"Queens","(718) 670-2000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"4167",4167,4167,4167,4167,4167,4167,4167,"181318","The Medical Center At Franklin","1100 Brookhaven Road","Franklin","KY",42135,"Simpson","(270) 598-4800","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Same as the national average",NA,"Not Available",16,"Not Available",16,"Not Available",5,-86.575563,36.699997,"medicare","N"
"4168",4168,4168,4168,4168,4168,4168,4168,"240018","Mayo Clinic Health System - Red Wing","701 Hewitt Boulevard, Po Box 95","Red Wing","MN",55066,"Goodhue","(651) 267-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-92.575197,44.560274,"medicare","N"
"4169",4169,4169,4169,4169,4169,4169,4169,"451309","Mccamey Hospital","2500 Hwy 305 South","Mccamey","TX",79752,"Upton","(432) 652-8626","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,NA,NA,"medicare","N"
"4170",4170,4170,4170,4170,4170,4170,4170,"330394","United Health Services Hospitals, Inc","10-42 Mitchell Avenue","Binghamton","NY",13903,"Broome","(607) 763-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-75.914166,42.088097,"medicare","N"
"4171",4171,4171,4171,4171,4171,4171,4171,"100022","Jackson Memorial Hospital","1611 Nw 12th Ave","Miami","FL",33136,"Miami-Dade","(305) 585-1111","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"1",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-80.214945,25.790612,"medicare","N"
"4172",4172,4172,4172,4172,4172,4172,4172,"261322","Excelsior Springs Hospital","1700 Rainbow Boulevard","Excelsior Springs","MO",64024,"Clay","(816) 630-6081","Critical Access Hospitals","Government - Local",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,-94.236519,39.362217,"medicare","N"
"4173",4173,4173,4173,4173,4173,4173,4173,"141334","St Joseph Memorial Hospital","2 South Hospital Drive","Murphysboro","IL",62966,"Jackson","(618) 684-3156","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Not Available",5,-89.32635,37.773205,"medicare","N"
"4174",4174,4174,4174,4174,4174,4174,4174,"190151","Richardson Medical Center","254 Highway 3048","Rayville","LA",71269,"Richland","(318) 728-4181","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,-91.747879,32.463973,"medicare","N"
"4175",4175,4175,4175,4175,4175,4175,4175,"340130","Atrium Health Union","600 Hospital Dr","Monroe","NC",28112,"Union","(704) 283-3100","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,-80.522853,34.975111,"medicare","N"
"4176",4176,4176,4176,4176,4176,4176,4176,"281347","Osmond General Hospital","P O Box 429, 402 North Maple St","Osmond","NE",68765,"Pierce","(402) 748-3393","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,NA,NA,"medicare","N"
"4177",4177,4177,4177,4177,4177,4177,4177,"40085","Helena Regional Medical Center","1801 Martin Luther King Jr Drive","Helena","AR",72342,"Phillips","(870) 338-5800","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,-90.62733,34.508357,"medicare","N"
"4178",4178,4178,4178,4178,4178,4178,4178,"50378","Pacifica Hospital Of The Valley","9449 San Fernando Rd","Sun Valley","CA",91352,"Los Angeles","(818) 767-3310","Acute Care Hospitals","Proprietary",TRUE,NA,"2",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-118.395669,34.241134,"medicare","N"
"4179",4179,4179,4179,4179,4179,4179,4179,"40026","Chi St. Vincent Hospital Hot Springs","300 Werner Street","Hot Springs","AR",71903,"Garland","(501) 622-1000","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,-93.066396,34.466035,"medicare","N"
"4180",4180,4180,4180,4180,4180,4180,4180,"351310","Sakakawea Medical Center - Cah","510 8th Avenue Ne","Hazen","ND",58545,"Mercer","(701) 748-2225","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,-101.61156,47.298286,"medicare","N"
"4181",4181,4181,4181,4181,4181,4181,4181,"390100","Lancaster General Hospital","555 North Duke Street","Lancaster","PA",17604,"Lancaster","(717) 299-5511","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"5",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-76.305328,40.046975,"medicare","N"
"4182",4182,4182,4182,4182,4182,4182,4182,"450658","Freestone Medical Center","125 Newman St","Fairfield","TX",75840,"Freestone","(903) 389-1612","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"3",NA,"Not Available",5,"Not Available",5,"Below the national average",NA,"Not Available",16,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-96.16961,31.725644,"medicare","N"
"4183",4183,4183,4183,4183,4183,4183,4183,"440018","Sycamore Shoals Hospital","1501 West Elk Avenue","Elizabethton","TN",37643,"Carter","(423) 542-1300","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,-82.249623,36.343941,"medicare","N"
"4184",4184,4184,4184,4184,4184,4184,4184,"440003","Sumner Regional Medical Center","555 Hartsville Pike","Gallatin","TN",37066,"Sumner","(615) 452-4210","Acute Care Hospitals","Proprietary",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-86.434341,36.391117,"medicare","N"
"4185",4185,4185,4185,4185,4185,4185,4185,"171369","Hodgeman County Health Center","809 Bramley","Jetmore","KS",67854,"Hodgeman","(620) 357-8361","Critical Access Hospitals","Government - Local",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-99.881785,38.08355,"medicare","N"
"4186",4186,4186,4186,4186,4186,4186,4186,"360148","Pomerene Hospital","981 Wooster Road","Millersburg","OH",44654,"Holmes","(330) 674-1015","Acute Care Hospitals","Government - Local",TRUE,NA,"5",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-81.920492,40.56432,"medicare","N"
"4187",4187,4187,4187,4187,4187,4187,4187,"321308","Cibola General Hospital","1016 E Roosevelt Avenue","Grants","NM",87020,"Cibola","(505) 287-5300","Critical Access Hospitals","Government - Local",TRUE,TRUE,"4",NA,"Not Available",5,"Not Available",16,"Above the national average",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Not Available",5,-107.826574,35.161168,"medicare","N"
"4188",4188,4188,4188,4188,4188,4188,4188,"451322","Grimes St Joseph Health Center","210 Judson St","Navasota","TX",77868,"Grimes","(936) 825-6585","Critical Access Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-96.077168,30.392895,"medicare","N"
"4189",4189,4189,4189,4189,4189,4189,4189,"360351","Crystal Clinic Orthopaedic Center","444 North Main Street","Akron","OH",44310,"Summit","(330) 670-4118","Acute Care Hospitals","Proprietary",FALSE,NA,"Not Available",16,"Not Available",16,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Not Available",5,"Not Available",16,"Not Available",16,-81.512155,41.09707,"medicare","N"
"4190",4190,4190,4190,4190,4190,4190,4190,"344023","Julian F Keith Alcohol & Drug Abuse Tx","201 Tabernacle Road","Black Mountain","NC",28711,"Buncombe","(828) 669-3402","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-82.350177,35.61144,"medicare","N"
"4191",4191,4191,4191,4191,4191,4191,4191,"240076","Buffalo Hospital","303 Catlin St","Buffalo","MN",55313,"Wright","(763) 682-1212","Acute Care Hospitals","Voluntary non-profit - Other",FALSE,TRUE,"5",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-93.87053,45.1932,"medicare","N"
"4192",4192,4192,4192,4192,4192,4192,4192,"51326","Plumas District Hospital","1065 Bucks Lake Road","Quincy","CA",95971,"Plumas","(530) 283-2121","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,-120.919251,39.934767,"medicare","N"
"4193",4193,4193,4193,4193,4193,4193,4193,"250162","Ochsner Medical Center-Hancock","149 Drinkwater Blvd","Bay Saint Louis","MS",39520,"Hancock","(228) 467-8600","Acute Care Hospitals","Government - Local",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-89.355657,30.31304,"medicare","N"
"4194",4194,4194,4194,4194,4194,4194,4194,"180128","Three Rivers Medical Center","2485 Highway 644","Louisa","KY",41230,"Lawrence","(606) 638-9451","Acute Care Hospitals","Proprietary",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-82.60474,38.0933,"medicare","N"
"4195",4195,4195,4195,4195,4195,4195,4195,"450080","Titus Regional Medical Center","2001 N Jefferson","Mount Pleasant","TX",75455,"Titus","(903) 577-6000","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,NA,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,-94.970433,33.175402,"medicare","N"
"4196",4196,4196,4196,4196,4196,4196,4196,"404009","Centro De Salud Conductual Menonita-Cima","Carr Estatal 14 Interior Sargento Gerardo Santiago","Aibonito","PR",705,"Aibonito","(787) 714-2462","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,NA,"medicare","N"
"4197",4197,4197,4197,4197,4197,4197,4197,"344029","Good Hope Hospital, Inc","410 Denim Drive","Erwin","NC",28339,"Harnett","(910) 230-4011","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-78.669669,35.326962,"medicare","N"
"4198",4198,4198,4198,4198,4198,4198,4198,"140120","Pekin Memorial Hospital","600 South 13th Street","Pekin","IL",61554,"Tazewell","(309) 347-1151","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-89.633191,40.563142,"medicare","N"
"4199",4199,4199,4199,4199,4199,4199,4199,"161311","Hawarden Regional Healthcare","1111 11th Street","Hawarden","IA",51023,"Sioux","(712) 551-3100","Critical Access Hospitals","Government - Local",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Not Available",5,-96.479427,42.998008,"medicare","N"
"4200",4200,4200,4200,4200,4200,4200,4200,"50329","Corona Regional Medical Center","800 South Main Street","Corona","CA",92882,"Riverside","(951) 737-4343","Acute Care Hospitals","Proprietary",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-117.566768,33.873327,"medicare","N"
"4201",4201,4201,4201,4201,4201,4201,4201,"451372","Muleshoe Area Medical Center","708 S 1st St","Muleshoe","TX",79347,"Bailey","(806) 272-4524","Critical Access Hospitals","Proprietary",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",16,-102.728458,34.221029,"medicare","N"
"4202",4202,4202,4202,4202,4202,4202,4202,"230195","Ascension Macomb Oakland Hosp-Warren Campus","11800 East Twelve Mile Road","Warren","MI",48093,"Macomb","(586) 573-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-83.003535,42.507178,"medicare","N"
"4203",4203,4203,4203,4203,4203,4203,4203,"110071","Appling Hospital","163 E Tollison Street","Baxley","GA",31513,"Appling","(912) 367-9841","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",5,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Not Available",5,-82.349351,31.768768,"medicare","N"
"4204",4204,4204,4204,4204,4204,4204,4204,"370202","Hillcrest Hospital South","8801 South 101st East Avenue","Tulsa","OK",74133,"Tulsa","(918) 294-4000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,-95.864651,36.036219,"medicare","N"
"4205",4205,4205,4205,4205,4205,4205,4205,"241301","Lakewood Health Center","600 Main Ave S","Baudette","MN",56623,"Lake Of  Woods","(218) 634-2120","Critical Access Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",16,-94.601172,48.707427,"medicare","N"
"4206",4206,4206,4206,4206,4206,4206,4206,"471305","Copley Hospital","528 Washington Highway","Morrisville","VT",5661,"Lamoille","(802) 888-4231","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Not Available",16,"Not Available",16,"Same as the national average",NA,-72.591214,44.554186,"medicare","N"
"4207",4207,4207,4207,4207,4207,4207,4207,"450851","Baylor Scott And White Heart And Vascular Hospital","621 North Hall Street","Dallas","TX",75226,"Dallas","(214) 820-0670","Acute Care Hospitals","Proprietary",TRUE,TRUE,"5",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Above the national average",NA,"Not Available",5,"Not Available",16,"Not Available",5,-96.780663,32.788288,"medicare","N"
"4208",4208,4208,4208,4208,4208,4208,4208,"360095","Blanchard Valley Hospital","1900 South Main Street","Findlay","OH",45840,"Hancock","(419) 423-4500","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"4",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,-83.650339,41.017241,"medicare","N"
"4209",4209,4209,4209,4209,4209,4209,4209,"340131","Carolina East Medical Center","2000 Neuse Blvd","New Bern","NC",28560,"Craven","(252) 633-8640","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-77.066216,35.111893,"medicare","N"
"4210",4210,4210,4210,4210,4210,4210,4210,"453312","Shriners Hospitals For Children","6977 Main Street","Houston","TX",77030,"Harris","(713) 797-1616","Childrens","Voluntary non-profit - Other",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-95.406174,29.704738,"medicare","N"
"4211",4211,4211,4211,4211,4211,4211,4211,"194079","Red River Behavioral Center, Llc","2800 Melrose Avenue","Bossier City","LA",71111,"Bossier","(318) 549-2099","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-93.704637,32.546972,"medicare","N"
"4212",4212,4212,4212,4212,4212,4212,4212,"360159","Adena Regional Medical Center","272 Hospital Road","Chillicothe","OH",45601,"Ross","(740) 779-7500","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,-82.969781,39.394593,"medicare","N"
"4213",4213,4213,4213,4213,4213,4213,4213,"521310","Hshs St Clare Memorial Hospital","855 S Main St","Oconto Falls","WI",54154,"Oconto","(920) 846-3444","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-88.127084,44.865899,"medicare","N"
"4214",4214,4214,4214,4214,4214,4214,4214,"150004","Franciscan Health Hammond","5454 Hohman Ave","Hammond","IN",46320,"Lake","(219) 932-2300","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-87.52201,41.61449,"medicare","N"
"4215",4215,4215,4215,4215,4215,4215,4215,"440111","Metro Nashville General Hospital","1818 Albion Street","Nashville","TN",37208,"Davidson","(615) 341-4490","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"3",NA,"Not Available",5,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Not Available",5,-86.806327,36.166135,"medicare","N"
"4216",4216,4216,4216,4216,4216,4216,4216,"190312","Our Lady Of The Angels Hospital","433 Plaza Street","Bogalusa","LA",70427,"Washington","(985) 730-6700","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-89.868455,30.778263,"medicare","N"
"4217",4217,4217,4217,4217,4217,4217,4217,"314018","Northbrook Behavioral Health Hospital","425  Woodbury Turnersville Road","Blackwood","NJ",8012,"Camden","(856) 374-6500","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-75.074288,39.788403,"medicare","N"
"4218",4218,4218,4218,4218,4218,4218,4218,"20008","Bartlett Regional Hospital","3260 Hospital Dr","Juneau","AK",99801,"Juneau","(907) 796-8900","Acute Care Hospitals","Government - Local",TRUE,NA,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-134.466829,58.328696,"medicare","N"
"4219",4219,4219,4219,4219,4219,4219,4219,"450780","Methodist Ambulatory Surgery Hospital Nw","9150 Huebner Rd Suite 100","San Antonio","TX",78240,"Bexar","(210) 575-5000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",5,"Not Available",5,"Not Available",16,-98.595995,29.527605,"medicare","N"
"4220",4220,4220,4220,4220,4220,4220,4220,"494010","Northern Virginia Mental Health Insti","3302 Gallows Rd","Falls Church","VA",22042,"Fairfax","(703) 207-7100","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-77.225633,38.857055,"medicare","N"
"4221",4221,4221,4221,4221,4221,4221,4221,"271312","Phillips County Medical Center","311 S 8th Ave E","Malta","MT",59538,"Phillips","(406) 654-1100","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",16,-107.860356,48.357098,"medicare","N"
"4222",4222,4222,4222,4222,4222,4222,4222,"310076","Saint Barnabas Medical Center","94 Old Short Hills Road","Livingston","NJ",7039,"Essex","(973) 322-5000","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,NA,"3",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.302334,40.764045,"medicare","Y"
"4223",4223,4223,4223,4223,4223,4223,4223,"114004","Summitridge Center- Psychiatry & Addictive Med","250 Scenic Highway","Lawrenceville","GA",30046,"Gwinnett","(678) 442-5800","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-83.990017,33.943406,"medicare","N"
"4224",4224,4224,4224,4224,4224,4224,4224,"454124","Mesa Springs","5560 Mesa Springs Drive","Fort Worth","TX",76123,"Tarrant","(817) 292-4600","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-97.411766,32.640151,"medicare","N"
"4225",4225,4225,4225,4225,4225,4225,4225,"190006","University Hospital & Clinics","2390 West Congress","Lafayette","LA",70506,"Lafayette","(337) 261-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,-92.045675,30.215792,"medicare","N"
"4226",4226,4226,4226,4226,4226,4226,4226,"50121","Adventist Health Hanford","115 Mall Drive","Hanford","CA",93230,"Kings","(209) 410-7200","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-119.669005,36.323877,"medicare","N"
"4227",4227,4227,4227,4227,4227,4227,4227,"50708","Fresno Surgical Hospital","6125 North Fresno St","Fresno","CA",93710,"Fresno","(559) 431-8000","Acute Care Hospitals","Proprietary",FALSE,TRUE,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",5,"Not Available",16,"Not Available",16,-119.781416,36.824644,"medicare","N"
"4228",4228,4228,4228,4228,4228,4228,4228,"100179","Memorial Hospital Jacksonville","3625 University Blvd S","Jacksonville","FL",32216,"Duval","(904) 702-6111","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-81.602405,30.287633,"medicare","N"
"4229",4229,4229,4229,4229,4229,4229,4229,"161347","Floyd County Medical Center","800 11th St","Charles City","IA",50616,"Floyd","(641) 228-6830","Critical Access Hospitals","Voluntary non-profit - Other",TRUE,NA,"4",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Above the national average",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,-92.682505,43.052667,"medicare","N"
"4230",4230,4230,4230,4230,4230,4230,4230,"50633","Twin Cities Community Hospital","1100 Las Tablas Rd","Templeton","CA",93465,"San Luis Obispo","(805) 434-3500","Acute Care Hospitals","Proprietary",TRUE,TRUE,"1",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-120.72013,35.554389,"medicare","N"
"4231",4231,4231,4231,4231,4231,4231,4231,"281306","Kearney County Health Services Hospital","727 East 1st St","Minden","NE",68959,"Kearney","(308) 832-3400","Critical Access Hospitals","Government - Local",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Not Available",5,-98.943203,40.495778,"medicare","N"
